id,cod_entrevist,fecha,id_casa,edad,sexo,niv_eco,estudios,chiri_mod,chiri_cabz,chiri_cuerp,chiri_lug_mod,chiri_sign_mod,chiri_enfer,chiri_encontro,chiri_last_year,chiri_ahora_report_mod,agente,inspecc_ult_year,inspec_gratis,fumiga_permi,bodega,app_use_mod,imag_volant,hora_fin,datos_perdidos,tiempo_encuesta,obs
143,maria_palaco,2023-04-10,1.25.22.73,76,1,1,2,1,99,99,1,1,1,0,0,1,0,0,0,1,1,1,0,2023-04-26 07:42:00,0,  6 mins,
144,maria_palaco,2023-04-10,1.25.22.228,68,2,2,3,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,2023-04-26 08:18:00,0,  4 mins,
145,maria_palaco,2023-04-10,1.25.22.249,54,2,2,5,2,1,3,2,1,1,0,0,2,0,0,1,1,1,2,0,2023-04-26 08:32:00,0,  4 mins,
146,maria_palaco,2023-04-10,1.25.22.330,40,1,2,5,2,1,3,2,2,1,0,0,1,0,0,0,0,1,3,0,2023-04-26 09:24:00,0, 27 mins,
147,maria_palaco,2023-04-10,1.25.22.363,85,1,1,0,3,2,2,1,2,99,0,0,1,0,0,1,1,0,1,0,2023-04-26 11:21:00,0, 54 mins,
148,maria_palaco,2023-04-10,1.25.21.214,45,1,1,3,1,1,3,2,1,1,0,0,1,0,0,1,1,1,4,0,2023-04-26 13:40:00,0, 27 mins,
149,junior_vilca,2023-04-10,1.25.45.114,68,2,5,3,1,2,3,2,1,1,0,0,1,0,1,1,1,1,1,0,2023-04-26 08:52:00,0, 10 mins,
150,junior_vilca,2023-04-10,1.25.45.68,30,2,3,5,2,1,3,3,2,1,0,0,1,0,0,1,1,0,3,1,2023-04-26 09:22:00,0,  5 mins,
151,junior_vilca,2023-04-10,1.25.45.15,55,2,2,3,1,2,3,3,2,1,0,0,1,0,1,1,1,1,1,0,2023-04-26 09:36:00,0, 10 mins,
152,junior_vilca,2023-04-10,1.25.45.194,24,2,2,5,2,2,2,2,2,1,0,0,1,0,0,0,1,1,3,1,2023-04-26 10:12:00,0,  9 mins,
153,junior_vilca,2023-04-10,1.25.9.40,44,2,2,3,2,3,2,2,2,1,0,0,1,0,0,1,1,1,1,1,2023-04-26 11:03:00,0,  9 mins,
154,junior_vilca,2023-04-10,1.25.9.39A,33,2,2,5,2,1,2,2,2,1,0,0,1,0,0,1,1,1,3,1,2023-04-26 11:10:00,0,  7 mins,
155,junior_vilca,2023-04-10,1.25.45.123,35,2,2,5,1,1,3,2,2,1,0,0,1,0,1,1,1,1,4,0,2023-04-26 14:06:00,0,  4 mins,
156,bryan_florez,2023-04-10,1.7.37.2,75,1,1,2,2,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,2023-04-26 07:39:00,0,  9 mins,
157,bryan_florez,2023-04-10,1.7.39.6,40,1,1,4,1,99,99,1,1,1,0,0,1,0,0,1,1,1,2,1,2023-04-26 09:50:00,0, 12 mins,
158,bryan_florez,2023-04-10,1.7.38.50,62,2,2,3,2,1,3,2,1,1,0,0,1,0,99,1,1,1,4,0,2023-04-26 10:05:00,0,  9 mins,
159,bryan_florez,2023-04-10,1.7.38.28,60,1,1,2,2,1,2,2,1,1,0,0,1,0,0,0,1,1,1,0,2023-04-26 11:53:00,0,  6 mins,
160,manuel_ysidro,2023-04-10,1.7.37.4,36,1,2,5,1,3,3,2,1,1,0,0,1,0,0,0,0,1,1,0,2023-04-26 08:02:00,0, 34 mins,
161,manuel_ysidro,2023-04-10,1.7.37A.11,47,1,1,3,2,1,3,2,2,1,0,0,1,0,1,1,1,1,1,0,2023-04-26 08:54:00,0, 14 mins,
162,manuel_ysidro,2023-04-10,1.7.38.153,77,2,5,2,1,3,1,4,1,99,0,0,1,0,0,1,1,1,1,0,2023-04-26 10:42:00,0,  3 mins,
163,manuel_ysidro,2023-04-10,1.7.39.283,77,2,5,5,2,99,3,1,1,1,0,0,1,0,0,1,1,1,1,0,2023-04-26 12:40:00,0, 33 mins,
164,lina_mollesaca,2023-04-10,1.25.26.2313,18,1,4,3,3,3,2,2,2,1,0,0,1,0,0,1,1,1,3,1,2023-04-26 07:53:00,0,  7 mins,
165,lina_mollesaca,2023-04-10,1.25.26.2295,35,2,2,3,2,3,1,2,1,99,0,0,1,0,0,1,1,1,2,0,2023-04-26 08:14:00,0,  3 mins,
166,lina_mollesaca,2023-04-10,1.25.26.2102,81,2,2,2,2,4,2,2,1,1,0,0,1,0,0,1,1,0,1,0,2023-04-26 08:52:00,0,  3 mins,
167,lina_mollesaca,2023-04-10,1.25.26.2029,70,1,1,2,3,2,3,2,1,1,0,0,1,0,0,1,1,1,1,1,2023-04-26 09:12:00,0,  4 mins,
168,lina_mollesaca,2023-04-10,1.25.26.1930,57,1,1,2,3,3,3,3,1,1,0,0,1,0,1,1,1,1,1,1,2023-04-26 09:50:00,0,  6 mins,
169,lina_mollesaca,2023-04-10,1.25.26.1796,80,1,1,2,1,3,2,2,1,99,0,0,1,0,0,0,99,0,1,0,2023-04-26 10:27:00,0,  5 mins,
